"date","price","rate","obs","r_sq","sigma_preds_garch11ma1.norm","sigma_preds_garch11ma1.std","sigma_preds_garch11ma1.ged","sigma_preds_garch11ma1.sstd","sigma_preds_egarch11ma1.norm","sigma_preds_egarch11ma1.std","sigma_preds_egarch11ma1.ged","sigma_preds_egarch11ma1.sstd","sigma_preds_tgarch11ma1.norm","sigma_preds_tgarch11ma1.std","sigma_preds_tgarch11ma1.ged","sigma_preds_tgarch11ma1.sstd","sigma_preds_cgarch11ma1.norm","sigma_preds_cgarch11ma1.std","sigma_preds_cgarch11ma1.ged","sigma_preds_cgarch11ma1.sstd","sigma_preds_RW","sigma_preds_HA","sigma_preds_MA1","sigma_preds_MA3"
"2020-01-17",59039.84,0.00131302644467591,2507,1.72403844441826e-06,7.6027183121601e-05,7.62656388658623e-05,7.54350056694251e-05,7.61816447467116e-05,6.91174656583013e-05,6.80038220564819e-05,6.83286049253883e-05,6.81232083526524e-05,7.03288725562408e-05,6.88217875665663e-05,6.93568515271122e-05,6.88967263247768e-05,7.38213758274416e-05,7.5825191264641e-05,7.53856512062977e-05,7.53843273003486e-05,2.44986935812634e-05,9.53273107260375e-05,6.31503210187852e-05,7.14616383426233e-05
"2020-01-20",59110.06,0.00118865963099229,2508,1.41291171835074e-06,7.19084432810198e-05,7.21743199382815e-05,7.13743340825116e-05,7.21859603484604e-05,6.42040799254783e-05,6.33433289198319e-05,6.3575152134241e-05,6.35381538435468e-05,6.47937007322051e-05,6.36948773673801e-05,6.40426828318839e-05,6.38814982194833e-05,6.91660768805835e-05,7.1701563877838e-05,7.14827350150962e-05,7.13517785675076e-05,1.72403844441826e-06,9.52899590611207e-05,6.29482332661414e-05,7.13942406738336e-05
"2020-01-21",58616.01,-0.00839326243290527,2509,7.04468542676188e-05,6.81728086911034e-05,6.84543253604553e-05,6.77746735507081e-05,6.85650644395483e-05,5.98394139443462e-05,5.91713404383505e-05,5.93240342834877e-05,5.94168361937091e-05,5.9970451191493e-05,5.91831683703701e-05,5.93911202365126e-05,5.94415054406426e-05,6.5949916419506e-05,6.80957338496253e-05,6.78647079398887e-05,6.77936976857107e-05,1.41291171835074e-06,9.52525130909002e-05,6.29383275821467e-05,7.13948670302634e-05
"2020-01-22",58401.69,-0.00366303968789205,2510,1.34178597550723e-05,6.89309776808286e-05,6.92946280682665e-05,6.8552127274411e-05,6.93140611720091e-05,6.78229713031071e-05,6.78614098400673e-05,6.75772998545023e-05,6.78672708694239e-05,6.92348954607551e-05,6.89514147233741e-05,6.8828412028667e-05,6.88957030794792e-05,6.96648622447815e-05,6.87341687017483e-05,6.85897505331827e-05,6.85819331649063e-05,7.04468542676188e-05,9.52426224773343e-05,6.32047676671207e-05,7.14763050649722e-05
"2020-01-23",58401.85,2.73964299352723e-06,2511,7.50564373198282e-12,6.60196278855202e-05,6.63448032690094e-05,6.57207658773068e-05,6.64552916505311e-05,6.71365271185351e-05,6.76875641904304e-05,6.73006586506843e-05,6.77449485078256e-05,6.86682143951036e-05,6.89652878294108e-05,6.87380358849756e-05,6.89715951302136e-05,6.46769641043869e-05,6.60802696440817e-05,6.56883754965957e-05,6.55149911991745e-05,1.34178597550723e-05,9.52100099772457e-05,6.32080955888091e-05,7.13050500915802e-05
"2020-01-24",58607.31,0.00351186541574812,2512,1.23331986983277e-05,6.27162431118072e-05,6.30995457506343e-05,6.24928451470571e-05,6.32225755400287e-05,6.2242120467073e-05,6.29497530838258e-05,6.24798334844804e-05,6.30713565656575e-05,6.31571101515184e-05,6.37283775392478e-05,6.3334563056251e-05,6.38292279126891e-05,6.13476036606622e-05,6.26493541746832e-05,6.22657777567852e-05,6.24285124267654e-05,7.50564373198282e-12,9.51720777053447e-05,6.30877865310388e-05,7.12816654544554e-05
"2020-01-27",57063.12,-0.0267014092549219,2513,0.00071296525619883,6.04277407742504e-05,6.07870481104379e-05,6.04402126145014e-05,6.09837520105332e-05,5.87028838923416e-05,5.91897666121837e-05,5.88517844705256e-05,5.93884066271593e-05,5.91566714242716e-05,5.95660909829513e-05,5.92696346246529e-05,5.97717368051383e-05,5.98732296053872e-05,6.03455046937457e-05,5.98372544411412e-05,6.02834270152203e-05,1.23331986983277e-05,9.51390873114749e-05,6.28086324743968e-05,7.12974661141409e-05
"2020-01-28",57336.45,0.00477852355752349,2514,2.2834287389807e-05,0.000101027597286079,0.000101440170906165,0.00010019908199257,0.000100905318683932,0.000103439950529806,0.000106605750404797,0.00010441746878242,0.000105392608273735,0.00010393797543237,0.000105560366143122,0.000104304348781742,0.000104318628852055,0.000123516680238744,0.000101140568453706,0.000100410627585359,0.000101233376516588,0.00071296525619883,9.53850372194715e-05,6.56180562928815e-05,7.22009119290461e-05
"2020-01-29",57351.22,0.000257569101921132,2515,6.63418422644587e-08,9.72376529401564e-05,9.74149977238883e-05,9.60943482348054e-05,9.67983928547102e-05,9.68932260187745e-05,9.90006447937017e-05,9.7312246754838e-05,9.80847118104984e-05,9.63494529393976e-05,9.71990040071002e-05,9.62727242369692e-05,9.63586641776543e-05,9.36570474155597e-05,9.73097801868374e-05,9.49542360613572e-05,9.680860319518e-05,2.2834287389807e-05,9.53561670444497e-05,6.55378660888588e-05,7.21552610333599e-05
"2020-01-30",56923.36,-0.00748831453761757,2516,5.60748546142946e-05,9.12486538475204e-05,9.12930265819735e-05,9.01369711174819e-05,9.09027718904167e-05,8.92167043269405e-05,9.11956958977607e-05,8.94167508102573e-05,9.04389409856233e-05,8.79343813108401e-05,8.89591262498791e-05,8.77575639283977e-05,8.83173326841344e-05,8.55825164970121e-05,9.07525430273765e-05,9.00795331282694e-05,9.11798005572717e-05,6.63418422644587e-08,9.53182633749182e-05,6.53412531385005e-05,7.21140110423863e-05
"2020-01-31",56681.27,-0.00426198063323864,2517,1.81644789181013e-05,8.91415070039209e-05,8.92157898974766e-05,8.81208358730429e-05,8.88657265761498e-05,9.45721031375996e-05,9.72500043671564e-05,9.5083286611612e-05,9.63622904524882e-05,9.44167536236007e-05,9.607826628217e-05,9.45080088058077e-05,9.52484980733901e-05,8.60742016739579e-05,8.88575046127946e-05,8.72364403366677e-05,8.88772304923154e-05,5.60748546142946e-05,9.53026596338603e-05,6.55440436256164e-05,7.21865231656241e-05
"2020-02-03",56795.27,0.00200922654764436,2518,4.03699131975889e-06,8.47503633133489e-05,8.47346893772566e-05,8.38595595641127e-05,8.46213023060321e-05,9.29852872923157e-05,9.60466767078669e-05,9.38725170292345e-05,9.53226300001762e-05,9.30118088489692e-05,9.52271322835783e-05,9.35544667882485e-05,9.4519259972755e-05,8.09100311871432e-05,8.44654165016716e-05,8.28775350779977e-05,8.45552807577661e-05,1.81644789181013e-05,9.52720005795218e-05,6.4406711627564e-05,7.2199789714581e-05
"2020-02-04",57607.63,0.0142019765951809,2519,0.000201696139210065,8.02045609702085e-05,8.03549401469507e-05,7.93752946098881e-05,8.01475783354348e-05,8.61373226702178e-05,8.88257490218113e-05,8.68808129578607e-05,8.83204989779873e-05,8.53122096562185e-05,8.73775745155836e-05,8.57994758986856e-05,8.69444312617647e-05,7.67110161612555e-05,7.94271915502567e-05,7.83765768929737e-05,7.94952193790333e-05,4.03699131975889e-06,9.52357530589577e-05,6.44226632623877e-05,7.21852025368949e-05
"2020-02-05",58121.81,0.00888595647416036,2520,7.89602224606724e-05,8.74434671217854e-05,8.758283560267e-05,8.6574563241741e-05,8.74179045123022e-05,8.37942298408534e-05,8.47368124562249e-05,8.37862930822617e-05,8.45275203323998e-05,8.2248890052061e-05,8.26042103882408e-05,8.20204229323215e-05,8.24977355648791e-05,9.07675474603235e-05,8.72305881927368e-05,8.65841833023608e-05,8.69294888712662e-05,0.000201696139210065,9.52780327992878e-05,6.52018618267817e-05,7.24446016027749e-05
"2020-02-06",57900.04,-0.00382290525603589,2521,1.46146045966268e-05,8.61218968409833e-05,8.63597949935816e-05,8.55479816109923e-05,8.63592643726216e-05,7.962522171268e-05,7.97766219128716e-05,7.93453381416349e-05,7.97703298482052e-05,7.75214631950424e-05,7.71882267514595e-05,7.70642050243046e-05,7.7317400346239e-05,8.46113323442705e-05,8.63161085686919e-05,8.54853123936427e-05,8.60056697568105e-05,7.89602224606724e-05,9.52715549071327e-05,6.52472802565903e-05,7.25384310780239e-05
"2020-02-07",57816.25,-0.00144819739112319,2522,2.097275683656e-06,8.22785921640733e-05,8.24142720610957e-05,8.16794851531238e-05,8.24902222053778e-05,8.02718733909943e-05,8.08241968000858e-05,8.00139858850781e-05,8.07024671469196e-05,7.87634878172164e-05,7.88568740842303e-05,7.83169924490177e-05,7.88283435348975e-05,7.93577347904678e-05,8.23876868507548e-05,8.08462893147114e-05,8.17623909467817e-05,1.46146045966268e-05,9.5239548180819e-05,6.53006776581741e-05,7.25347962046658e-05
"2020-02-10",57474.88,-0.00592189525109765,2523,3.5068843364973e-05,7.77369031316676e-05,7.79193211217497e-05,7.7202590545585e-05,7.80272566613791e-05,7.57989772145471e-05,7.66736256314178e-05,7.58242473143213e-05,7.66632100677489e-05,7.40972689739309e-05,7.46462471978211e-05,7.40025079610559e-05,7.47415145119268e-05,7.47637855334265e-05,7.74002303095719e-05,7.69174974776461e-05,7.76092834277322e-05,2.097275683656e-06,9.52026016229066e-05,6.5151320204122e-05,7.253449842629e-05
"2020-02-11",57816.86,0.00593244586242357,2524,3.51939139105866e-05,7.5523907510613e-05,7.57188309043515e-05,7.50330458832757e-05,7.58356169835121e-05,7.89926172471853e-05,8.04277045463384e-05,7.9274213180863e-05,8.03130151108233e-05,7.81568976355506e-05,7.92156297358956e-05,7.82892632949955e-05,7.91601576581057e-05,7.42386401267132e-05,7.53473960988145e-05,7.48402237445279e-05,7.48276002771405e-05,3.5068843364973e-05,9.5178757943978e-05,6.4996182942012e-05,7.25707040005443e-05
"2020-02-12",58156.08,0.00585000203345976,2525,3.42225237914833e-05,7.38374143476306e-05,7.39567781205487e-05,7.32851263165471e-05,7.42271530824518e-05,7.48113640790128e-05,7.55798937023081e-05,7.48007604046995e-05,7.56153593168817e-05,7.34273403554056e-05,7.3899045933308e-05,7.32991309525063e-05,7.40198033035811e-05,7.31095984712357e-05,7.31399715890168e-05,7.31412683987798e-05,7.34934824552622e-05,3.51939139105866e-05,9.51549827382573e-05,6.50426958258324e-05,7.24718678806325e-05
